Merrick_Group1,Merrick_Group2,Merrick_Group3,Burl_ASC1,Burl_ASC2,Hepler_FIP,Hepler_CP,Hepler_APC,Schwalie_P1,Schwalie_P2,Schwalie_P3
Akr1c18,Apoe,Clec11a,Adreg5,Ackr3,Anxa3,Agpat2,Abca8a,Car8,Adam12,Abcg1
Anxa3,Bmper,F3,Apoe,Akr1c18,Cd9,Ak2,Adap2os,Col14a1,Cdh11,Bgn
Bmp7,Cd36,Fmo2,Bgn,Anxa3,Cmah,Apex1,Adap2os,Creb5,Col3a1,C2
Cd55,Fabp4,Gdf10,Car3,Cd55,Dact2,Apln,Apod,Cxcl13,Col4a1,C7
Dact2,Ggt5,Ifitm1,Col15a1,Chst1,Edn1,Atad3a,C7,Dmrt2,Col4a2,Cldn1
Dpp4,Icam1,Vit,Col4a1,Cldn3,Efhd1,Car3,Col1a1,Il33,Col5a3,Dkk3
Gap43,Pparg,,Col4a2,Col14a1,Fdgfrb,Cd36,Cp,Klf3,Col6a3,F3
Pi16,Rarres2,,Col5a3,Creb5,Fndc1,Cebpa,Crispid2,Limch1,Egr1,Fmo2
Sema3c,Vcam1,,Col6a3,Dmkn,Gngt2,Fabp5,Cxcl14,Ly6c1,Egr2,Gdf10
Wnt2,,,Ctsk,Dpp4,Has2,Fcor,Fgl2,Osr2,Fosb,Gli1
,,,Cxcl14,Efhd1,Limch1,Hspd1,Ggt5,Pgr,Lpl,Hhip
,,,Cygb,Fn1,Lsp1,Mif,Hsd11b1,Pi16,Mafb,Itifm1
,,,Enpep,Fndc1,Ly6c1,Mrps6,Inmt,Plpp3,Peg3,Meox2
,,,Enpp2,Il1r2,Nov,Nhp2,Lrrn1,Smpd3,Pparg,Mgp
,,,Ga6,Islr,Pi16,Nop56,NGnai1,,,Nkain4
,,,Gnai1,Itgb7,Ptgs2,Plin1,Nmb,,Sparcl1,Nr2f2
,,,Icam1,Lrrn4cl,Sfrp4,Rbp4,Ntf3,,Stat3,Paqr6
,,,Lpl,Mustn1,Smpd3,Reep6,Ppp1r14a,,,Prdm6
,,,Mmp3,Pcolce2,Stmn4,Rgcc,Steap4,,,Rspo2
,,,Nrep,Pi16,Uchl1,Slc5a3,Vtn,,,Tnfsf13b
,,,Plin2,Procr,,,,,,Vit
,,,Rbp4,Ptgs2,,,,,,
,,,Smoc2,Sbsn,,,,,,
,,,Sparcl1,Scara3,,,,,,
,,,Steap4,Sema3c,,,,,,
,,,Penk,Tmem100,,,,,,
,,,,Tmem158,,,,,,
